"","ODT","Tiempo"
"1","ACH Foods / Twinings / Pitch",60
"2","Apple / App Store / Reportes 2019",990
"3","Apple / Apple Music / Reportes 2018",1380
"4","Apple / Apple Music / Reportes 2019",2205
"5","Apple / BI / Actividades",105
"6","Blason / Estrategia Digital / Pauta 2019",975
"7","Blason / Estrategia Digital / Reportes 2019",315
"8","Blason / Estrategia Digital 2019 / Reportes",1260
"9","Generación de leads Toyota Saltillo",1080
"10","Herdez / Saber Nutrir / Estrategia RRSS",330
"11","INVEX / Komodo / Sitio y Estrategia",810
"12","Lunave / BI / Varios",16215
"13","Lunave / Interno / Procesos",3810
"14","Lunave / Interno / Work Smarter Not Harder",45
"15","Lunave / LORD / Plataforma interna",2580
"16","MSD / Club Ganadero / Estrategia",240
"17","MSD / Club Ganadero / Sitio web",1320
"18","MSD / Reportes / Reportes 2018",75
"19","MSD/ CLUB GANADERO/ PAUTA JUNIO",90
"20","MSD/ CLUB GANADERO/ PAUTA MAYO",630
"21","MSD/ CLUB GANADERO/ REPORTES 2019",2610
"22","PITCH GREAT VALUE",210
"23","Pitch Superama",660
"24","Pitch Walmart Ecommerce",240
"25","Rich's / Pauta Always on y campaña de marcas / Materiales 2019",2700
"26","Rich's / Reportes / Entregables 2019",1230
"27","Rich's México / Pitch / Estrategia digital",60
"28","Richs / Reportes / Reportes 2018",825
"29","Singer / Agendas / Reportes 2019",2415
"30","Singer / BI / Materiales de Pauta 2019",975
"31","Singer / Reportes / Reportes 2018",90
"32","Toyota / Estrategia Digital / FY20",2910
"33","Toyota / Pauta / Agosto 2019",360
"34","Toyota / Pauta / Julio 2019",1695
"35","Toyota / Pauta / Junio 2019",3180
"36","Toyota / Reportes / Julio",3675
"37","Toyota / Reportes / Junio",2085
"38","Toyota / Reportes / Mayo",4515
"39","Toyota / Reportes / Reportes Toyota 2018",90
"40","Toyota / Takata 2019 / Reportes",495
"41","Walmart / Estrategia Digital / Juntas con Cliente 2019",690
"42","Walmart / Estrategia Digital / Plan de Medios 2019",1650
"43","Walmart / Estrategia Digital / Reporte Anual 2019",60
"44","Walmart / Estrategia Digital / Reportes Mensuales 2019",4575
"45","Zuma / Energía / Sitio",60
