"","Marca","Semana","Tiempo"
"1","Apple","23",15
"2","Blason","23",90
"3","Generación de leads Toyota Saltillo","23",240
"4","Lunave","23",4395
"5","MSD","23",840
"6","Pitch Superama","23",75
"7","Richs","23",1215
"8","Singer","23",225
"9","Toyota","23",1830
"10","Walmart","23",585
"11","Apple","24",1410
"12","Blason","24",360
"13","Generación de leads Toyota Saltillo","24",210
"14","Lunave","24",2355
"15","MSD","24",990
"16","Richs","24",990
"17","Singer","24",45
"18","Toyota","24",2460
"19","Walmart","24",270
"20","Apple","25",825
"21","Blason","25",120
"22","Generación de leads Toyota Saltillo","25",60
"23","Lunave","25",1935
"24","MSD","25",945
"25","Pitch Superama","25",330
"26","Pitch Walmart Ecommerce","25",240
"27","Richs","25",180
"28","Singer","25",810
"29","Toyota","25",2715
"30","Walmart","25",60
"31","Zuma","25",60
"32","ACH Foods","26",60
"33","Blason","26",90
"34","Generación de leads Toyota Saltillo","26",120
"35","INVEX","26",60
"36","Lunave","26",1170
"37","Pitch Superama","26",255
"38","Richs","26",210
"39","Singer","26",330
"40","Toyota","26",2355
"41","Walmart","26",495
"42","Apple","27",780
"43","Blason","27",375
"44","Generación de leads Toyota Saltillo","27",60
"45","INVEX","27",30
"46","Lunave","27",2130
"47","MSD","27",180
"48","PITCH GREAT VALUE","27",210
"49","Richs","27",585
"50","Singer","27",210
"51","Toyota","27",2265
"52","Walmart","27",1350
"53","Blason","28",60
"54","Generación de leads Toyota Saltillo","28",120
"55","INVEX","28",330
"56","Lunave","28",2505
"57","MSD","28",1170
"58","Richs","28",1140
"59","Singer","28",105
"60","Toyota","28",1695
"61","Walmart","28",1560
"62","Apple","29",900
"63","Blason","29",435
"64","Generación de leads Toyota Saltillo","29",30
"65","INVEX","29",390
"66","Lunave","29",1545
"67","MSD","29",315
"68","Richs","29",225
"69","Singer","29",1395
"70","Toyota","29",2595
"71","Walmart","29",1860
"72","Apple","30",750
"73","Blason","30",450
"74","Generación de leads Toyota Saltillo","30",120
"75","Herdez","30",60
"76","Lunave","30",2805
"77","MSD","30",315
"78","Richs","30",150
"79","Singer","30",255
"80","Toyota","30",1800
"81","Walmart","30",705
"82","Blason","31",570
"83","Generación de leads Toyota Saltillo","31",120
"84","Herdez","31",270
"85","Lunave","31",3810
"86","MSD","31",210
"87","Richs","31",120
"88","Singer","31",105
"89","Toyota","31",1290
"90","Walmart","31",90
